,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL230414C00050000,2023-04-12 19:30:49+00:00,50.0,110.1,0.0,0.0,0.0,0.0,67.0,0,1.0000000000000003e-05,True,REGULAR,USD
1,AAPL230414C00060000,2023-04-12 19:47:52+00:00,60.0,100.15,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
2,AAPL230414C00070000,2023-04-05 13:42:38+00:00,70.0,94.95,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
3,AAPL230414C00075000,2023-04-05 13:46:32+00:00,75.0,89.5,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
4,AAPL230414C00085000,2023-04-05 13:48:50+00:00,85.0,79.35,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
5,AAPL230414C00095000,2023-03-29 19:37:31+00:00,95.0,66.07,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
6,AAPL230414C00100000,2023-04-05 13:37:58+00:00,100.0,64.85,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
7,AAPL230414C00110000,2023-04-11 18:40:21+00:00,110.0,51.76,0.0,0.0,0.0,0.0,13.0,0,1.0000000000000003e-05,True,REGULAR,USD
8,AAPL230414C00115000,2023-04-04 16:23:09+00:00,115.0,50.91,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
9,AAPL230414C00120000,2023-04-10 18:14:14+00:00,120.0,41.65,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
10,AAPL230414C00125000,2023-04-11 19:48:45+00:00,125.0,35.9,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
11,AAPL230414C00130000,2023-04-11 13:42:33+00:00,130.0,31.5,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
12,AAPL230414C00131000,2023-04-12 14:57:14+00:00,131.0,29.4,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
13,AAPL230414C00132000,2023-04-12 17:15:33+00:00,132.0,29.75,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
14,AAPL230414C00133000,2023-04-12 17:42:56+00:00,133.0,28.52,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
15,AAPL230414C00134000,2023-04-06 14:41:02+00:00,134.0,29.63,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
16,AAPL230414C00135000,2023-04-12 19:22:26+00:00,135.0,25.38,0.0,0.0,0.0,0.0,51.0,0,1.0000000000000003e-05,True,REGULAR,USD
